car_no,list_of_witnesses,responses,violation_type
EC905571,['Aruba'],Providing additional information,Caused accident
SA177322,"['Rashi', 'Priya', 'Tanishq', 'Aruba', 'Riya']",Providing additional information,Not followed traffic rules
VG229539,"['Rashi', 'Tanishq', 'Riya', 'Aruba']",Challenging the record,Not followed traffic rules
SL423230,"['Tanishq', 'Rashi', 'Aruba']",No comments,Caused accident
ST642210,['Tanishq'],Challenging the record,Not followed traffic rules
ID154233,"['Aruba', 'Priya']",No comments,Not followed traffic rules
MA307873,"['Aruba', 'Priya', 'Tanishq']",Providing additional information,Caused accident
AS974818,"['Riya', 'Aruba', 'Rashi', 'Tanishq', 'Priya']",No comments,Not followed traffic rules
ZW933252,"['Aruba', 'Priya']",Challenging the record,Not followed traffic rules
CM403107,"['Tanishq', 'Riya']",No comments,Not followed traffic rules
GS724019,['Riya'],No comments,Caused accident
JO376884,"['Priya', 'Rashi', 'Riya', 'Aruba']",No comments,Not followed traffic rules
VG201260,"['Riya', 'Priya']",Providing additional information,Caused accident
DJ597493,"['Aruba', 'Rashi']",Challenging the record,Not followed traffic rules
ST642210,['Riya'],No comments,Not followed traffic rules
TV634065,"['Tanishq', 'Rashi', 'Riya', 'Aruba', 'Priya']",Providing additional information,Not followed traffic rules
FK837823,"['Rashi', 'Priya', 'Riya', 'Tanishq']",Providing additional information,Not followed traffic rules
GF473965,['Priya'],Providing additional information,Not followed traffic rules
SB763210,"['Aruba', 'Riya', 'Priya', 'Tanishq', 'Rashi']",Providing additional information,Caused accident
KZ616300,"['Aruba', 'Priya', 'Rashi', 'Tanishq']",Challenging the record,Caused accident
ID465966,"['Aruba', 'Rashi', 'Priya', 'Tanishq', 'Riya']",Providing additional information,Not followed traffic rules
GE981637,"['Tanishq', 'Rashi', 'Riya']",Providing additional information,Not followed traffic rules
HR936158,['Riya'],Challenging the record,Not followed traffic rules
LK415492,['Rashi'],Challenging the record,Caused accident
CF862743,"['Aruba', 'Priya']",Challenging the record,Not followed traffic rules
MA929957,['Priya'],No comments,Caused accident
SJ245127,['Rashi'],No comments,Not followed traffic rules
GM579071,"['Aruba', 'Priya', 'Tanishq', 'Rashi', 'Riya']",No comments,Caused accident
KZ616300,"['Tanishq', 'Aruba', 'Rashi', 'Riya', 'Priya']",No comments,Not followed traffic rules
NC881625,['Aruba'],Providing additional information,Caused accident
HM825734,"['Riya', 'Aruba', 'Priya', 'Rashi']",No comments,Caused accident
SN797522,"['Rashi', 'Aruba', 'Riya', 'Priya']",Providing additional information,Caused accident
BW434358,"['Riya', 'Tanishq', 'Priya']",No comments,Not followed traffic rules
MQ937797,"['Priya', 'Tanishq', 'Rashi', 'Aruba', 'Riya']",Providing additional information,Not followed traffic rules
CU531149,"['Aruba', 'Riya', 'Tanishq']",Challenging the record,Not followed traffic rules
SV705666,"['Rashi', 'Priya', 'Riya', 'Tanishq', 'Aruba']",Challenging the record,Not followed traffic rules
BG527788,['Riya'],No comments,Not followed traffic rules
GS724019,"['Tanishq', 'Aruba', 'Riya', 'Rashi', 'Priya']",No comments,Not followed traffic rules
FJ906817,"['Riya', 'Aruba', 'Priya', 'Rashi', 'Tanishq']",Challenging the record,Not followed traffic rules
GH836909,"['Aruba', 'Priya', 'Riya', 'Rashi']",Providing additional information,Caused accident
MA307873,"['Tanishq', 'Aruba', 'Riya']",Challenging the record,Caused accident
GI197831,"['Riya', 'Priya', 'Tanishq', 'Aruba', 'Rashi']",Challenging the record,Caused accident
BY776147,"['Aruba', 'Tanishq', 'Riya', 'Rashi', 'Priya']",No comments,Caused accident
NP551373,['Riya'],No comments,Not followed traffic rules
LB884650,['Rashi'],Providing additional information,Not followed traffic rules
MM674811,['Tanishq'],Challenging the record,Not followed traffic rules
ML193356,"['Priya', 'Aruba', 'Riya', 'Tanishq', 'Rashi']",Challenging the record,Caused accident
TL972584,"['Rashi', 'Priya']",Providing additional information,Not followed traffic rules
VI191752,"['Tanishq', 'Priya', 'Aruba', 'Riya']",No comments,Caused accident
MM146501,"['Rashi', 'Riya']",Providing additional information,Caused accident
SO423151,"['Aruba', 'Tanishq', 'Riya']",Providing additional information,Caused accident
FJ723821,"['Rashi', 'Priya', 'Riya', 'Tanishq', 'Aruba']",Providing additional information,Caused accident
AW549996,"['Aruba', 'Priya', 'Riya', 'Rashi']",Challenging the record,Not followed traffic rules
MP446334,"['Priya', 'Tanishq']",No comments,Caused accident
NA793561,"['Aruba', 'Riya', 'Tanishq', 'Rashi', 'Priya']",No comments,Caused accident
BI292773,['Rashi'],No comments,Caused accident
MS377612,"['Rashi', 'Tanishq', 'Priya', 'Riya', 'Aruba']",Providing additional information,Not followed traffic rules
GY238480,['Riya'],No comments,Not followed traffic rules
LA682314,"['Priya', 'Tanishq', 'Riya']",Challenging the record,Not followed traffic rules
DJ597493,['Priya'],Providing additional information,Not followed traffic rules
NZ204524,"['Aruba', 'Tanishq', 'Rashi', 'Riya']",No comments,Caused accident
VE190965,"['Riya', 'Rashi']",Providing additional information,Caused accident
UZ199272,"['Rashi', 'Tanishq']",Providing additional information,Not followed traffic rules
CD941401,"['Aruba', 'Priya', 'Tanishq', 'Riya']",Challenging the record,Not followed traffic rules
TD959735,"['Riya', 'Priya', 'Aruba', 'Tanishq', 'Rashi']",No comments,Caused accident
ES620711,"['Rashi', 'Riya', 'Tanishq', 'Aruba']",Providing additional information,Caused accident
GL788860,"['Aruba', 'Rashi', 'Priya']",Providing additional information,Not followed traffic rules
CI315454,['Priya'],No comments,Caused accident
AZ959481,"['Tanishq', 'Priya']",Challenging the record,Not followed traffic rules
PN138611,"['Priya', 'Tanishq']",Challenging the record,Not followed traffic rules
SA635389,"['Tanishq', 'Riya', 'Aruba', 'Priya', 'Rashi']",Providing additional information,Caused accident
ZA340248,"['Tanishq', 'Rashi', 'Priya', 'Riya', 'Aruba']",Challenging the record,Caused accident
GN153359,"['Riya', 'Rashi', 'Tanishq']",Providing additional information,Caused accident
AN337354,"['Riya', 'Priya', 'Rashi', 'Tanishq']",Challenging the record,Caused accident
NG902657,"['Riya', 'Priya', 'Rashi', 'Tanishq', 'Aruba']",Challenging the record,Not followed traffic rules
IS278161,"['Tanishq', 'Aruba', 'Rashi', 'Priya', 'Riya']",Providing additional information,Caused accident
CU618702,"['Priya', 'Rashi']",Challenging the record,Caused accident
SK241967,"['Aruba', 'Tanishq', 'Priya', 'Rashi']",No comments,Caused accident
DK476453,"['Priya', 'Aruba', 'Rashi', 'Riya']",Challenging the record,Not followed traffic rules
PN261369,"['Aruba', 'Rashi', 'Riya', 'Tanishq']",Challenging the record,Not followed traffic rules
IO632564,"['Aruba', 'Tanishq']",No comments,Caused accident
PY139679,['Priya'],No comments,Caused accident
JO649959,['Aruba'],Providing additional information,Not followed traffic rules
AO938117,"['Tanishq', 'Riya', 'Rashi', 'Priya', 'Aruba']",No comments,Caused accident
VN255987,"['Priya', 'Aruba']",No comments,Not followed traffic rules
PW671466,"['Rashi', 'Tanishq']",Providing additional information,Not followed traffic rules
IQ667253,"['Tanishq', 'Priya', 'Rashi', 'Aruba']",No comments,Caused accident
SZ129136,['Riya'],No comments,Caused accident
TK664393,"['Priya', 'Rashi', 'Aruba']",Challenging the record,Caused accident
SJ654453,"['Rashi', 'Aruba']",No comments,Not followed traffic rules
TC816668,"['Tanishq', 'Aruba', 'Rashi']",No comments,Not followed traffic rules
GW478937,"['Rashi', 'Riya', 'Tanishq']",No comments,Not followed traffic rules
SN303364,"['Rashi', 'Priya', 'Aruba', 'Tanishq']",Challenging the record,Caused accident
BG730815,"['Aruba', 'Riya', 'Tanishq']",No comments,Not followed traffic rules
AW837434,"['Tanishq', 'Aruba', 'Priya', 'Rashi', 'Riya']",Providing additional information,Not followed traffic rules
BG326064,"['Rashi', 'Priya', 'Aruba', 'Tanishq', 'Riya']",Challenging the record,Not followed traffic rules
TN781970,"['Rashi', 'Aruba', 'Priya']",No comments,Caused accident
NC370762,"['Priya', 'Rashi', 'Aruba', 'Tanishq', 'Riya']",Challenging the record,Not followed traffic rules
LT425835,"['Rashi', 'Priya', 'Riya', 'Aruba']",Challenging the record,Not followed traffic rules
KE776416,"['Aruba', 'Rashi', 'Riya', 'Priya', 'Tanishq']",Providing additional information,Caused accident
